 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 9.26762074232101E-0002  1.34563221628014E+0000  1.49493600530710E+0001  1.34563221628014E+0000  1.49493600530710E+0001  1.34563221628014E+0000  1.49493600530710E+0001
 9.90762934088707E-0002  1.42729121042378E+0000  9.16686382184722E+0000  1.42729121042378E+0000  9.16686382184722E+0000  1.42729121042378E+0000  9.16686382184722E+0000
 1.05476379394531E-0001  1.38359148169441E+0000  1.10190055058931E+0001  1.38359148169441E+0000  1.10190055058931E+0001  1.38359148169441E+0000  1.10190055058931E+0001
 1.11876457929611E-0001  1.36284140151049E+0000  3.81710937677907E+0001  1.36284140151049E+0000  3.81710937677907E+0001  1.36284140151049E+0000  3.81710937677907E+0001
 1.18276543915271E-0001  1.34498512615456E+0000  7.56221220229479E+0000  1.34498512615456E+0000  7.56221220229479E+0000  1.34498512615456E+0000  7.56221220229479E+0000
 1.24676629900932E-0001  1.19692474710470E+0000  6.07861218519752E+0000  1.19692474710470E+0000  6.07861218519752E+0000  1.19692474710470E+0000  6.07861218519752E+0000
 1.34276747703552E-0001  1.28998760510406E+0000  1.35062186767300E+0001  1.28998760510406E+0000  1.35062186767300E+0001  1.28998760510406E+0000  1.35062186767300E+0001
 1.47076919674873E-0001  1.27314973999763E+0000  8.47039118147992E+0001  1.27314973999763E+0000  8.47039118147992E+0001  1.27314973999763E+0000  8.47039118147992E+0001
 1.59877091646194E-0001  1.28516713487801E+0000  1.09753424582584E+0001  1.28516713487801E+0000  1.09753424582584E+0001  1.28516713487801E+0000  1.09753424582584E+0001
 1.72677248716354E-0001  1.32156750667758E+0000  2.25757784579170E+0001  1.32156750667758E+0000  2.25757784579170E+0001  1.32156750667758E+0000  2.25757784579170E+0001
 1.85477420687675E-0001  1.23544788055133E+0000  1.07224857914068E+0001  1.23544788055133E+0000  1.07224857914068E+0001  1.23544788055133E+0000  1.07224857914068E+0001
 1.98277592658997E-0001  1.24384156431022E+0000  3.60103427238033E+0001  1.24384156431022E+0000  3.60103427238033E+0001  1.24384156431022E+0000  3.60103427238033E+0001
 2.11077749729156E-0001  1.26034267408548E+0000  2.26655185423479E+0001  1.26034267408548E+0000  2.26655185423479E+0001  1.26034267408548E+0000  2.26655185423479E+0001
 2.23877921700478E-0001  1.16553491420606E+0000  2.71251116689519E+0001  1.16553491420606E+0000  2.71251116689519E+0001  1.16553491420606E+0000  2.71251116689519E+0001
 2.36678093671799E-0001  1.29790730149425E+0000  1.12044923795272E+0001  1.29790730149425E+0000  1.12044923795272E+0001  1.29790730149425E+0000  1.12044923795272E+0001
 2.49478250741959E-0001  1.21517551032401E+0000  1.01077648732488E+0001  1.21517551032401E+0000  1.01077648732488E+0001  1.21517551032401E+0000  1.01077648732488E+0001
 2.68678516149521E-0001  1.25180093283776E+0000  2.38009273309948E+0001  1.25180093283776E+0000  2.38009273309948E+0001  1.25180093283776E+0000  2.38009273309948E+0001
 2.94278830289841E-0001  1.20750340060265E+0000  2.22277073808714E+0001  1.20750340060265E+0000  2.22277073808714E+0001  1.20750340060265E+0000  2.22277073808714E+0001
 3.19879174232483E-0001  1.13564745710192E+0000  1.37035652052791E+0001  1.13564745710192E+0000  1.37035652052791E+0001  1.13564745710192E+0000  1.37035652052791E+0001
